,msd_id,echo_nest_id,artist,title,year,peak,weeks
2443,TRHGOXF12903CB3A5C,SOHOWCL12AF72A4F7B,Gloria Gaynor,How High The Moon,1975,5,75
2444,TRHGXNB128EF34DEAA,SOBPHEW12A6BD4D40F,David Ruffin,I'm So Glad I Fell For You,1995,7,53
2447,TRHGXTH128F92D2B6A,SOKAMXI12A8C144465,The Orlons,Don't Hang Up,2005,15,4
2450,TRHGXAN12903CBD07B,SOYGJCY12AB018946E,The Pointer Sisters,Happiness,1978,10,30
2452,TRHGKFB128F427E0E4,SOFYNII12A8C137055,Pearl Jam,Given To Fly,1998,16,21
2454,TRHGYNK128F92D50C0,SOSOZEO12D02198E8B,Natasha Bedingfield,Single,2004,6,57
2458,TRHHWPE128F42937EC,SOPUUTX12A8C139BEA,Brand Nubian,Don't Let It Go To Your Head,1998,6,54
2459,TRHHBKW12903CB39D4,SOYSUAV12AB018AF48,Dion & The Belmonts,Where Or When,1959,16,3
2462,TRHHTBX128F149DA3C,SOPHSBZ12A6D4F9693,The Fixx,One Thing Leads To Another,1983,19,4
2463,TRHHSUM128F4277568,SOTKFEY12A8C137EB7,Europe,The Final Countdown,1986,18,8
2467,TRHHXYV128F92FCAE6,SOZWTJV12A8C1422A7,Eddie Murphy,Party All The Time,1985,22,2
2468,TRHHKGA128F4265558,SOWKFHD12A8C131320,Quiet Riot,Cum On Feel The Noize,1983,21,5
2470,TRHCWXE128F92EAB49,SONYDPA12AF72A87E6,Alan Jackson,That'd Be Alright,2002,20,29
2471,TRHCWPI12903CC525B,SOFXLWJ12AB018D8EC,The Ronettes,(The Best Part Of) Breakin' Up,1964,8,39
2473,TRHCCLO12903CFF151,SOPNWXV12AC90718F5,Canned Heat,Going Up The Country,1968,11,11
2475,TRHCRJM128F93373FC,SOCYREG12A6D4F89EB,Slim Harpo,Rainin' In My Heart,1966,8,34
2476,TRHCQJU128F4296DC3,SOLJEXC12D021904BF,Dolly Parton,But You Know I Love You,1980,10,41
2479,TRHCZYD128F425FBDF,SOOVZEB12A8AE46ED3,Jr. Walker & The All Stars,What Does It Take (To Win Your Love),1969,16,4
2485,TRHCIDK128F429D89F,SOIQDBR12A8C13FA6B,Engelbert Humperdinck,Am I That Easy To Forget,1987,10,18
2487,TRHCTZV128F428D4E0,SOPGPLB12A8C13920D,Charley Pride,I'm Just Me,1971,2,94
2490,TRHCURB12903CC5CA2,SOWGVJW12AB018C348,Bobby Freeman,Betty Lou Got A New Pair Of Shoes,1992,9,37
2491,TRHCJMM128F933BEED,SOLLUUU12A6D4F8C75,Level 42,Something About You,1985,27,7
2493,TRHCDSY128F931692E,SOMPTCI12AB017C416,Taylor Swift,Forever & Always,2008,3,34
2496,TRHCDQC12903CB39D3,SOLPAEM12AB018AF43,Dion & The Belmonts,A Lover's Prayer,1985,3,73
2497,TRHCXVN128F147753E,SORUXJZ12A6D4F79D5,Cathy Dennis,You Lied To Me,1992,13,32
2498,TRHRWYI128F932594C,SOBUUXG12AB0182EB3,Rusty York,Sugaree,1992,3,77
2500,TRHRWLR128F42A7E2E,SOPHJCH12A8C13EC64,Chuck Berry,Merry Christmas Baby,1958,3,71
2501,TRHRWCT128F4267ABD,SOALZGH12A8C132F57,Mac Davis,Baby Don't Get Hooked On Me,1972,18,1
2504,TRHRFVN128F429746F,SOMUKRE12A8C13CC44,Dolly Parton,I Will Always Love You,1974,14,53
2505,TRHRQTK128F92E6409,SOAOLNG12AB017CFDC,The Marvelettes,Too Many Fish In The Sea,1964,12,25
2507,TRHRLKI128E0792171,SOBJMPB12A6701F785,Bubba Sparxxx,Ugly,2001,20,15
2508,TRHRDYQ128F428BBC2,SOXHBFL12A8C1380AA,Heather Headley,I Wish I Wasn't,2003,20,55
2509,TRHRDMI128F1459343,SOUEMFB12A6310DFC3,Hot Chocolate,Emma,1974,14,8
2511,TRHRXBE128F4272923,SOKYVIY12A58A7F4C2,Sly & The Family Stone,Hot Fun In The Summertime,1969,16,2
2513,TRHBCPS128F93587D7,SOVHIGB12A8AE46CB0,Joan Baez,The Night They Drove Old Dixie Down,1971,15,3
2516,TRHBACO128F9318355,SOOIYIH12AB017B43D,Rufus Thomas,Walking The Dog,1963,14,10
2522,TRHBNHK128F149608E,SOBWYNW12A6D4FA8A1,Darlene Love,Christmas (Baby Please Come Home),1963,50,50
2523,TRHBESG12903CAF8C3,SORWYAI12AB018BF59,Shalamar,A Night To Remember,1982,10,44
2525,TRHBELU128F4247AB2,SOUMKOJ12A8C134A11,Rose Royce,Car Wash,1976,23,1
2531,TRHBKJS128F42AC31B,SOBMYQQ12D02197A35,Alicia Keys,Karma,2003,29,20
2534,TRHFWTN128E07826BF,SOMNGRA12A6310E316,The Human League,The Lebanon,1984,5,64
2535,TRHFGML128F14581FB,SOWIGCV12A6D4F6A35,Kenny Rogers And Sheena Easton,We've Got Tonight,1983,18,6
2539,TRHFBRL128F145BC00,SOHKJCJ12A6D4F601C,Jon Secada,I'm Free,1992,20,27
2540,TRHFFPN12903CBD4C5,SOPVSBM12AB01855AF,The Knickerbockers,High On Love,1966,3,94
2541,TRHFQPO128F425443D,SONPECC12A8C139F11,Tyrone Davis,I Wish It Was Me,2000,9,57
2542,TRHFQVX128F9309D40,SOPTIOZ12AB017F55C,The Sapphires,Gotta Have Your Love,2008,5,77
2543,TRHFIZR128F428BE7F,SOUUVSL12A8C139906,Air Supply,Even The Nights Are Better,1982,18,5
2546,TRHFNWM128F1477A17,SOGQFZT12A6D4F884E,Jimmy Ruffin,I'll Say Forever My Love,1969,5,77
2551,TRHFPNH12903CE3093,SONVKLM12A8C145FA6,Jason Aldean,Laughed Until We Cried,2007,16,61
2552,TRHFPEY128F426FC7C,SOEGFRT12A8C134BD4,The Doobie Brothers,Eyes Of Silver,1974,8,52
2553,TRHFTXW128F42889EC,SOCMUKY12D02194EE0,Jackson 5,ABC,1970,13,1
2559,TRHFTEK128EF34272D,SOZILHN12A6701F3B0,Bananarama,More Than Physical,1986,5,73
2560,TRHFEEP12903CD3863,SOYTBOO12AB0186FE6,Lonnie Mack,Memphis,1970,13,5
2562,TRHFSAB128F42622B1,SOSTHWW12A8C130B1B,Joe Diffie,It's Always Somethin',1999,14,57
2563,TRHFVAV128F92E53F8,SOZIJBU12AB017E41F,The Dramatics,Whatcha See Is Whatcha Get,1972,15,9
2567,TRHFVKK128F930F094,SODKBQX12A8C13A6EA,Elvis Presley,My Way,1989,12,22
2568,TRHFDJN128F92E3DAD,SOBBMFS12D02191F9E,Roy Orbison,Too Soon To Know,1967,5,68
2569,TRHFOFY128F1469637,SOECJLM12A6D4F6AC1,Julian Lennon,Too Late For Goodbyes,1984,17,5
2571,TRHFXMK128E078FC0F,SORLFIB12A6701FEF7,Lee Ann Womack,A Little Past Little Rock,1998,10,43
2572,TRHQMMO128E0791D97,SOHIGNA12B0B807674,Bryan Adams,Heaven,1984,19,1
2575,TRHQGRO128F1463A0D,SOTLHXL12A6D4F6E5C,The Undisputed Truth,Papa Was A Rollin' Stone,1972,5,63
2577,TRHQHDK128F4288520,SOCDYTZ12A8C137C59,Toni Braxton,Just Be A Man About It,2003,20,32
2580,TRHQFOB128F92E6592,SOGZNKY12A8C1448EB,Bruce Springsteen,Born To Run,1975,11,23
2581,TRHQQGM128E0781C67,SOBQLCM12A6D4FAFCD,Everclear,Father Of Mine,1997,17,70
2583,TRHQIPW128F42956AD,SODNNFY12A8C1397D6,Bay City Rollers,Yesterday's Hero,1976,7,54
2586,TRHQASJ128F4277331,SOKDTCM12A8C13AA80,Chaka Khan,I'm Every Woman,1978,16,21
2587,TRHQPNH12903CB4F43,SOJAXJE12AB0185F45,Thomas Dolby,Hyperactive,1984,7,62
2588,TRHQTLX128F930117A,SOVTPCM12A8C14112A,Fabian,Tiger,1987,13,3
2592,TRHQLTO128E07990A7,SOEILSD12A67ADE67C,Bonnie Raitt,Not The Only One,1991,17,34
2594,TRHQENS128E0784814,SOCGMXY12A6701E069,Sting,When We Dance,1994,18,38
2595,TRHQVQZ12903CA528E,SOCQNLP12A58A7E91D,Carrie Underwood,So Small,2007,20,17
2596,TRHQXIC12903D07092,SONCEHA12D02193468,John Denver,I Want To Live,1977,5,55
2599,TRHQYWZ128F1456AD1,SORFDQN12A6D4F3DFA,Poco,Indian Summer,1977,8,50
2600,TRHZMUG128E0781AE5,SOJLQEL12A6310E2F1,KC And The Sunshine Band,Get Down Tonight,1975,15,1
2601,TRHZMCL128F92E5404,SOILWXQ12AB017E453,The Dramatics,You're Fooling You,1975,3,87
2602,TRHZWKG128F427046F,SOHWDXB12A58A7AF34,Engelbert Humperdinck,Winter World Of Love,1992,12,16
2604,TRHZCJY128F146241E,SOCTCAO12A6D4F7924,Donny Osmond,Puppy Love,1972,12,3
2605,TRHZBWE128F92FF5F5,SOFNYBY12CF5463261,Marvin Gaye,Too Busy Thinking About My Baby,1969,15,4
2606,TRHZZBS128F92E8DC3,SOUCNBT12A8C145B35,Kris Allen,No Boundaries,2009,3,11
2607,TRHZZZV128E07925F3,SODLYCW12A67021657,Mya,Case Of The Ex (Whatcha Gonna Do),2000,30,2
2608,TRHZLTT128F4293E97,SOVPORG12D021943FC,Rascal Flatts,Feels Like Today,2004,13,56
2609,TRHZLYU128F92E6499,SOQZRIM12A582917DD,Twisted Sister,I Wanna Rock,1984,7,68
2610,TRHZLNB128F4228CCF,SOFCRRN12A58A78FC6,Creedence Clearwater Revival,Lodi,1969,4,52
2612,TRHZJGR128F92FA38A,SOCQDGJ12AB0183727,Jane Morgan,The Day The Rains Came,1991,15,21
2617,TRHZXKN12903CE3975,SOJHMKG12AB0188E86,Brook Benton,So Many Ways,1961,16,6
2620,TRHIMHJ128F1460BA6,SOBFYBC12A6D4F634A,Smokey Robinson,Just To See Her,1987,21,8
2622,TRHIWYH128F92E5405,SODEICV12AB017E454,The Dramatics,Door To Your Heart,1996,6,62
2623,TRHIWQI128F92F0658,SOPIZEX12A8C132D39,Eddie Money,I Wanna Go Back,1986,21,14
2624,TRHIQOG128F4279510,SOTAYWF12A8C1362A0,Argent,Hold Your Head Up,1972,15,5
2628,TRHIZIA128F148D44F,SOLSGZE12A6D4F6658,Sisqo,Incomplete,1999,26,1
2631,TRHIIPX128F424BFF8,SOBESQY12A8C13415C,Marvin Gaye,What's Going On,1971,15,2
2634,TRHIAJR128F42801A7,SOZDSLH12A8C13865B,Michael Jackson,One More Chance,2003,5,83
2638,TRHIAUB128E078DA89,SOXWIWP12A67020CDB,Elton John,Your Song,1970,14,8
2639,TRHITAF128F93325F1,SOTJZXH12AB0184CE1,Badfinger,Hold On,1981,8,56
2640,TRHITZJ128F4289F5F,SOWHLOK12D021B0F2C,Charley Pride,Is Anybody Goin' To San Antone,1970,7,70
2641,TRHITLO128E0792CE9,SOPLOOM12A6702091A,The Temptations,Get Ready,1966,7,29
2642,TRHIUQE128F427E268,SOWMBCE12A58A7B377,Bachman-Turner Overdrive,Roll On Down The Highway,1974,11,14
2645,TRHIUYA128F148D77C,SOIXVIU12A6D4F9C4E,Kanye West,Through The Wire,2003,21,15
2651,TRHIESS128F148AF79,SOBLASS12A6D4F9C2A,Joe Budden,Pump It Up,2003,19,38
2653,TRHIEPH128F425CA5E,SOSPPAB12A8AE47335,Ohio Players,Fopp,1975,11,30
2655,TRHISSO128F930B56C,SOAUKAS12AB01848B3,Cheap Trick,Ain't That A Shame,1977,10,35
2656,TRHIXJT128F422B8DC,SOEPHSW12A6D4FAF7B,Captain & Tennille,Love Will Keep Us Together,1977,23,1
2659,TRHIKPH128EF348F52,SOMUPAQ12A67ADFB74,Cher,Dark Lady,1973,16,1
2660,TRHAMKN128F148B594,SOODMFL12A6D4F8084,The Monkees,Words,1967,9,11
2661,TRHAMKR128F4284E88,SONMUUH12A8C136BB6,The Box Tops,I Met Her In Church,1968,6,37
2662,TRHAWPL128F4261D1D,SOLOJQS12A8C132C27,Dixie Chicks,Travelin' Soldier,2002,10,25
2664,TRHAGDV128F9313C36,SOYRLVP12AB017E3EB,Martha & The Vandellas,In My Lonely Room,1964,6,44
2668,TRHAHKV128F42679B6,SOHWZKV12A8C131B96,Cheryl Lynn,Star Love,1978,10,62
2669,TRHAFBD128F9322949,SOCFDVA12AB018867D,Mica Paris,My One Temptation,1989,4,97
2670,TRHAQSN128F428A357,SOSSNCY12A8C137B3F,Lonestar,With Me,2001,15,63
2671,TRHAZDC12903CB7CB9,SOAXRDJ12AB017BDF0,Johnny Nash,I Can See Clearly Now,1972,20,1
2675,TRHAZUV128F9305CF2,SOEUVNS12AB01860F5,Joe Simon,Music In My Bones,1975,4,92
2677,TRHANAN128F931C3E9,SOXSYVD12AB018431C,Filter,Hey Man Nice Shot,1993,7,76
2678,TRHALTG128F931B15E,SOMVRRS12A58A7D10E,The Marvelettes,You're My Remedy,1986,7,48
2680,TRHASUT128F42838EF,SOKHFDZ12A6701F5C9,Cat Stevens,Banapple Gas,1975,6,41
2682,TRHASLR128F4279984,SOMITMS12D02193375,Nas,One Mic,2001,13,43
2683,TRHAYSK128F4267D80,SOBSHRL12A8C133A11,Karla Bonoff,Please Be The One,1982,7,63
2684,TRHNGMV128F426236F,SOKUVGP12AF72A8E6A,Lita Ford,Shot Of Poison,1991,14,45
2685,TRHNCES128F92F0812,SOJJOWM12AB017E145,Gloria Estefan,Oye Mi Canto (Hear My Voice),1989,7,48
2686,TRHNQTF128F9311AF3,SOQTSJC12AB017F375,Cher,You Better Sit Down Kids,1968,13,9
2688,TRHNNHS12903CF8A58,SOBDKAR12A8C13D139,Johnny Tillotson,Earth Angel,1995,7,57
2689,TRHNUOI12903CE26CA,SOMKGHH12A6D4F9806,Dead Or Alive,You Spin Me Round (Like A Record),1984,18,11
2697,TRHNENS128E0799A33,SOGVNNL12A67AE0CFB,Ashlee Simpson,L.O.V.E.,2005,18,22
2698,TRHNSVH128F92FD386,SORYQZL12A8C140F1E,Lou Christie,Two Faces Have I,1975,15,6
2701,TRHNDIX128F427220B,SOFJIVD12A58A79C1B,Tiffany,I Saw Him Standing There,1987,14,7
2702,TRHPMMU12903D16709,SOGQHTO12AC4688ED7,Graham Central Station,The Jam,1975,6,63
2704,TRHPWMB128F4264720,SOZIMYB12A8C132C87,Robert Goulet,Summer Sounds,1997,7,58
2705,TRHPHLI128F42A35D9,SONIYTM12A8C13E3D1,Lonestar,Everything's Changed,1997,2,95
2706,TRHPCVY128F425C3C2,SOPCPRI12A8C1375D0,Ray Anthony,Worried Mind,1999,8,74
2707,TRHPFJR12903CA41DA,SOOYQXS12A6D4F84B9,Spandau Ballet,True,1983,18,4
2709,TRHPZIT128F148B263,SOTQVSE12A6D4F8200,Puddle Of Mudd,She Hates Me,2001,23,13
2710,TRHPNKR128F428CCD3,SOIOXIK12A8C13A410,OutKast,Jazzy Belle,1996,14,52
2712,TRHPLLI128E078E7DE,SOPVENC12A6701DEE8,Bobby Brown,Every Little Step,1988,21,3
2714,TRHPSDO12903CE5189,SOZKNSB12A8C140F11,Iyaz,Replay,2009,34,2
2715,TRHPYZD128E07918DE,SOOYZEB12A6310D7D6,The Mamas & The Papas,Look Through My Window,1966,7,24
2718,TRHTHOR12903CE4751,SOKDSHM12AB018BFC5,Mindy McCready,Guys Do It All The Time,1996,9,72
2720,TRHTCQI128F42143FB,SOQEKKP12CF5F8735A,Lynyrd Skynyrd,Free Bird,1973,20,19
2721,TRHTCXG12903CC2F60,SOLLNTU12A6701CFDC,3 Doors Down,Kryptonite,1997,53,3
2723,TRHTCFT12903CBEEB5,SOZGTZI12AB018A560,Vic Dana,Crystal Chandelier,1966,7,51
2724,TRHTCAP128F4238224,SOQCAKS12A8C1338BC,Terri Clark,I Wanna Do It All,2003,20,38
2725,TRHTRKM128E0792004,SOFEWAF12A6701D7EC,The Temptations,My Girl,1965,13,1
2726,TRHTBSW128F93161FA,SOQXCAR12CF5F88ED4,Simon & Garfunkel,Bridge Over Troubled Water,1970,14,1
2728,TRHTIOI128F9303A1D,SOLSIIH12AB0183967,James Carr,I'm A Fool For You,1967,3,97
2729,TRHTIUW128E078FFC4,SOCHDKT12A6701EA0C,The Supremes,When The Lovelight Starts Shining Through His Eyes,1963,11,23
2730,TRHTAIQ128F427275A,SORHMOX12A58A796F6,Redbone,Come And Get Your Love,1973,23,5
2733,TRHTLWR12903CE5FB6,SOTLPIB12AC3DF9747,Brownstone,I Can't Tell You Why,1995,13,54
2734,TRHTSFS128F14A2ABF,SOUENAE12A6D4FADE2,Sam & Dave,When Something Is Wrong With My Baby,1966,8,42
2738,TRHTOVS128F92EBF0E,SOWPVIC12AB01821DE,Miley Cyrus,7 Things,2008,15,9
2740,TRHTYAC128F42BCCC8,SOGNVIU12A8C13FD02,Alabama,Take Me Down,1982,13,18
2742,TRHUMIB128F429D622,SOVTVEB12A8C13C9DE,Madcon,Beggin',2007,10,79
2748,TRHUWGN128F9358C45,SOVTSFY12D021B2A5D,Ne-Yo,Mad,2008,24,11
2749,TRHUGUO12903CA0EDB,SOGLANM12AB018B07F,Johnny Paycheck,She's All I Got,1987,2,91
2754,TRHURXV12903CC4E2A,SOZSKAC12AB0187C51,Rose Royce,I'm Going Down,1976,7,70
2755,TRHUBQI128F14611C8,SORROHU12A6D4F7C64,The Waitresses,I Know What Boys Like,1982,6,62
2757,TRHUZTD128E078F4EA,SOEZMXE12A6701DF63,K-Ci & JoJo,All My Life,1997,36,1
2758,TRHUIUK128F92F1525,SOCWVSF12A8C141F02,Del Shannon,Hats Off To Larry,1961,13,5
2759,TRHUILT128F424BBC6,SOSJECG12AF72A4DE0,Tiffany,I Think We're Alone Now,1987,24,1
2762,TRHUACP128F9330D0C,SONPVRV12AB0185D7E,Steely Dan,Pretzel Logic,1974,5,57
2764,TRHUPMZ128F92CC01B,SOUBEAX12CF5465224,Simon & Garfunkel,The Dangling Conversation,1966,7,25
2766,TRHUJZI128F4260326,SOXWUIG12A8C1326EE,Ashford & Simpson,Street Corner,1997,10,56
2768,TRHUSLA12903CA449E,SOUFKRS12AB01885DE,Hannah Montana,Life's What You Make It,2007,4,25
2769,TRHLCTI128F4277B10,SOUHQLA12A8C13C7D2,The Delfonics,Didn't I (Blow Your Mind This Time),1970,14,10
2771,TRHLARK128F93011ED,SOLNPBG12A8C140358,The Crests,The Angels Listened In,1989,16,22
2772,TRHLAKW128F931B10B,SOEMZRO12AB0187FB0,Martha & The Vandellas,Live Wire,1964,7,42
2776,TRHLTMZ128F4270948,SOTFFUF12A8C1312F4,The Doobie Brothers,Listen To The Music,1972,13,11
2777,TRHLEVU128E0792E39,SOXEGBZ12A679AE53D,Eagle-Eye Cherry,Save Tonight,1996,28,5
2778,TRHLEAG128F4266080,SOMWESK12A8C13044E,Hi-Five,Quality Time,1994,17,38
2779,TRHLJYY128F1474A08,SOFTALV12A6D4F8A60,Chris Cagle,Laredo,2000,12,60
2780,TRHLDDH128F92CBD5B,SOPBHZK12A67ADA02D,Bobby Taylor & The Vancouvers,Does Your Mama Know About Me,1968,10,29
2782,TRHLDOI128F930EFBC,SOPYGAH12D02198ED7,John Denver,Seasons Of The Heart,1982,5,78
2783,TRHLDJS128F92EF471,SOHFGTX12AB017E2B1,Jessica Simpson,These Boots Are Made For Walkin',2005,11,14
2786,TRHERLD128F42599C6,SORDAOY12A8AE46080,The Clash,Should I Stay Or Should I Go,1982,23,45
2789,TRHERPX128E0793096,SOUMFCO12AB01889A6,Sting,Fortress Around Your Heart,1985,20,8
2790,TRHEBDB128F92E9FC0,SOKIBSD12AB017B1B4,Shakira,Don't Bother,2005,9,42
2791,TRHEQMP128F4284AED,SOGYDDH12A8151CA15,Simon & Garfunkel,My Little Town,1975,14,9
2792,TRHEQQM128F93233A8,SOYERXW12A58A7ECCD,Dan Baird,I Love You Period,1992,16,26
2793,TRHEZPL128F428A575,SOQKWYU12A8C139C55,Bobby Bare,Detroit City,1963,12,16
2799,TRHEERD128F9336DD8,SOCQKAX12AB0182039,Kenny Loggins,Vox Humana,1985,10,29
2800,TRHESQM128F9309934,SOECPPC12AB0183841,Britney Spears,Everytime,2003,18,15
2805,TRHEYQT128F92D3824,SOYKXQD12A8C142048,Brian Hyland,The Joker Went Wild,1994,11,20
2806,TRHJCKK128F428A543,SOQCVHR12A8C13A1BC,Pure Prairie League,Amie,1972,13,27
2807,TRHJCOR128F42551DD,SOEWTCQ12A67020324,The Stylistics,Funky Weekend,1975,9,76
2808,TRHJRTX128F4292280,SONHXLV12A8C14003B,Bertha Tillman,Oh My Angel,1996,9,61
2809,TRHJRGJ128E0784438,SOJEBJO12A6701C322,Godley & Creme,Cry,1985,17,16
2810,TRHJQJE128F930DD6A,SOGFVWX12AB017FDB3,Percy Sledge,Cover Me,1968,8,42
2812,TRHJTOO128F145D75B,SOTTKFP12A6D4F7847,Bobby Vee,My Girl/Hey Girl,2005,9,35
2813,TRHJUBM128F932A24F,SOSMWMG12CF5F86F22,The Cars,My Best Friend's Girl,1978,15,35
2814,TRHJUWP128F92EA8A6,SONLXGN12AB0182821,Tony Bennett,For Once In My Life,1967,5,91
2815,TRHJEYI12903CB5053,SOXTCPF12AB018B86F,Ohio Express,Yummy Yummy Yummy,1968,14,4
2817,TRHJEBV128F426A326,SOLQVZE12A8AE47A25,Cyndi Lauper,My First Night Without You,1989,6,62
2818,TRHJJRF128F1459CF4,SONAHEO12A6D4F89B7,Donna Fargo,Superman,1999,9,41
2820,TRHJSEZ128F1459DCC,SOODKCX12A6D4F5E2E,Billy Currington,I Got A Feelin',2003,16,50
2821,TRHJVGH12903CB1529,SOWZIMW12AB017C0DF,Mott The Hoople,All The Young Dudes,1972,11,37
2826,TRHJDJS128F1484D06,SOINBRO12A6D4F9A12,Brenda Lee,Fool #1,1990,14,3
2827,TRHJYQE128F9358C9E,SOMQAZT12D021B577A,Cascada,Evacuate The Dancefloor,2009,26,25
2835,TRHSMEG128F42BC646,SOBEHLM12A8C1408C7,Aaron Carter,That's How I Beat Shaq,2001,2,96
2836,TRHSRZI128F42598CC,SOYGJQA12A58A79755,Sade,The Sweetest Taboo,1985,22,5
2837,TRHSRCW128F42A2437,SOXDDIW12A8C13F12C,Toni Braxton,He Wasn't Man Enough,2000,37,2
2841,TRHSBTY128F933607F,SOHWGUD12AB018687F,Sponge,Molly (Sixteen Candles),1995,18,55
2842,TRHSBQF128F42599DD,SOHHZDH12A8AE460CC,Paul Young,Love Of The Common People,1983,11,45
2845,TRHSQAU128F146630D,SOMUKRV12A6D4F8020,Limahl,Never Ending Story,1984,19,17
2850,TRHSZMH128F42719F4,SOAQGHR12A8C136EB1,Willie Nelson,On The Road Again,1980,20,20
2852,TRHSIXC128F4243D09,SOWBXPW12A8C131E83,Enuff Z'Nuff,New Thing,1989,7,67
2853,TRHSPGT128F42628EA,SOPJUJO12A8C132373,Darden Smith,Loving Arms,1993,2,96
2854,TRHSTXU128E0796A76,SOEGZID12A67AE0F06,Natalie Cole,Inseparable,1975,17,32
2855,TRHSTHD12903CC6638,SOKRZBO12A8C140BD5,Don Covay,The Popeye Waddle,2005,7,75
2856,TRHSJHW128F148B276,SOURIDG12A58A7AAC7,The Brothers Johnson,Treasure,1980,4,73
2857,TRHSKFF128F428668D,SORDJJS12A8C13E056,Kraftwerk,Autobahn,1974,10,25
2858,TRHSYNT128F4271779,SOBEOGH12A8C136D91,Charlie Rich,I Love My Friend,1999,13,24
2859,TRHVMAS128F1464071,SOEOBPY12A6D4F84D2,Ohio Players,Skin Tight,1974,11,13
2862,TRHVMCJ128F9304DDE,SOCZZWJ12AAF3B53AC,Brook Benton,Shadrack,1961,9,19
2863,TRHVGNQ128F4271735,SOYHXOQ12A8C136E29,Marty Robbins,Begging To You,1989,5,74
2864,TRHVGXR128F9328102,SOFILWJ12AB0180E9A,The Tymes,Here She Comes,2002,3,92
2865,TRHVCBQ128F42B851A,SOCMXRS12A8C13E607,Christina Aguilera,Genie In A Bottle,1999,25,1
2871,TRHVCZF128F92D1DED,SOSKTAU12D021933EA,John Denver,Sunshine On My Shoulders,1971,18,1
2873,TRHVBCC128F429E974,SOSKKOL12A58A7BE90,Marc Anthony,I Need To Know,1999,40,3
2875,TRHVQUB12903CB2B3C,SOFBRMY12AB0186CDB,Uriah Heep,Stealin',1973,7,91
2876,TRHVIRM12903CEA4E4,SOAJNRK12AB018E791,Bad Company,Burnin' Sky,1977,4,78
2878,TRHVSGL128F428AEEB,SOWBHRF12A8C137AB2,Maroon 5,Wake Up Call,2007,22,19
2880,TRHVDCV128EF342BB5,SOKXLHC12CF5F870AC,Elton John,Made In England,1995,10,52
2881,TRHVOHR128E07840A4,SOWGQHG12A58A78688,Kylie Minogue,Come Into My World,2001,8,91
2882,TRHVYKL128F1460BB1,SOZYCOW12A8C143ACB,El DeBarge,Love Always,2003,12,43
2883,TRHVYJU128F42B19AD,SONGRWI12A8C140A72,Bobby Rydell,Forget Him,1991,16,4
2886,TRHDWAT128F92CC2EA,SOLKKET12A8C142870,Keith Sweat,I Want Her,1987,20,5
2887,TRHDFRB12903C9C78A,SOFNGQO12A67AE0E3A,Vanessa Williams,Save The Best For Last,1991,27,1
2889,TRHDFYF128F1459959,SOPXRQT12A6701EAC9,Tom Petty And The Heartbreakers,The Waiting,1981,13,19
2892,TRHDIQB128F426B174,SOFESXI12A8C133B17,Bob Dylan,Just Like A Woman,1966,6,33
2895,TRHDAQX128F42780F1,SOZSLID12A58A7D4AA,Living Colour,Glamour Boys,1988,13,31
2897,TRHDEWE128EF34DE82,SOPMKWG12A6D4F86AE,Eddie Kendricks,If You Let Me,1972,8,66
2898,TRHDSGD128F9313C5D,SOMJPIO12AB018045B,Jermaine Jackson,Do What You Do,1984,20,13
2901,TRHDSUS128F428E556,SORZOGO12A58A7BCA3,Frankie Goes To Hollywood,Two Tribes,1984,15,43
2906,TRHDDXB128F422B955,SOALJAF12A58A7BBDC,David Ruffin,Walk Away From Love,1975,15,9
2910,TRHDONG128F42BC2A2,SOBNGKR12A58A77332,Mac Davis,Stop And Smell The Roses,1974,14,9
2913,TRHDYTO128F4282678,SOTOBXA12A8C13FC3A,Bob Welch,Sentimental Lady,1977,18,8
2914,TRHOGMB128F1481949,SOTIJGL12A6310E1ED,Dusty Springfield,I Only Want To Be With You,1963,10,12
2915,TRHOCGD128F92CC05B,SOTZGNT12D021B3E40,Simon & Garfunkel,A Hazy Shade Of Winter,1968,9,13
2918,TRHOFUK128F42650EF,SOMXBVM12A8C1315AD,Sly & The Family Stone,Frisky,1973,2,79
2920,TRHOQVZ128F9305E5B,SOHAOXH12A58A792D2,Brooks & Dunn,Hillbilly Deluxe,2005,9,86
2921,TRHOIVA128F4265025,SOTKVNF12A8C133D0D,Firehouse,I Live My Life For You,1995,20,26
2922,TRHOUPI128F930F2BD,SOBABNT12AB017E542,Katharine McPhee,Over It,2007,16,29
2923,TRHOSWF128F92C987D,SOPENCV12D021B4D15,Aretha Franklin,Jump To It,1982,12,24
2924,TRHOSHT128F92CF271,SOPXGAM12A8C14193A,Miley Cyrus,Fly On The Wall,2008,2,84
2928,TRHOSOG128F428B19B,SOURMTG12A8C13B478,Michael Penn,No Myth,1989,16,13
2929,TRHOVQZ128F427CC0C,SOCKVQZ12A8C13B7D9,The Fleetwoods,Mr. Blue,1987,20,1
2932,TRHODQS128F4265380,SOMEDPY12A8C133D33,Ruff Endz,No More,2000,26,5
2936,TRHOKWJ128F9327FAE,SOCCMEQ12AB01884C6,Tavares,Bad Times,1993,10,47
2940,TRHOKXE128F932A6E0,SOFUZAE12A6D4F5ECF,Loose Ends,Hangin' On A String,1985,10,43
2941,TRHOKWF128F4241136,SOOQSLB12A81C200EF,J. Holiday,Bed,2007,23,5
2942,TRHXMIW128F9306B59,SOAWYGP12AB0181634,Crazy Town,Butterfly,1999,23,1
